"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
213.070892564498,279.048311083689,276.732516687127,347.469927601067,275.045185520079,374.740792699798,445.368261082784,309.950335855779,335.422240096329,245.384388598547,269.086658418124
245.848018843105,293.018707912087,261.69832725335,316.044203453647,275.91724141963,395.355587429605,402.778414628223,320.218338214743,335.322951452592,234.010718060889,205.930068553034
264.470952837421,329.125895442122,221.517255484704,341.499592422188,279.966483100287,395.677868317478,400.218631678942,328.717811580285,358.352501049274,230.748814047297,254.153756981632
253.965749277211,316.003288605338,192.648491083275,365.14875448346,267.206419440962,365.073394761308,447.16368743937,341.65141814044,345.425798365364,258.026630929754,243.431764038253
241.504368265492,300.642629451029,226.805033539544,343.542907357653,237.832442585296,368.79168661127,464.697949771859,354.197684914578,309.293822774384,206.533177580306,286.496383903998
212.146762769587,272.437110680809,263.536385089095,346.566833673614,297.249338223895,360.923005117348,426.791920659385,326.376185016233,302.221558560211,227.604559567044,203.635088245915
234.789915219069,232.857299223066,217.018819949291,341.512293660618,279.44382023316,378.828354914488,427.810794209764,341.985715016439,389.392917484978,237.627508473689,289.956598993039
258.378146679674,281.027556778693,219.85357618219,379.52006259489,274.440953235239,347.715266789226,346.307058170717,340.3901687689,351.340302234074,228.667564661762,264.710483105291
204.817370864119,255.983267304058,225.594120303199,359.240758220348,261.752903285421,385.137851766214,398.860120366439,356.677934621051,368.851586662388,229.296263863982,253.60367604806
278.612964059468,273.848827330033,235.763751917145,344.487003056285,273.802386735689,354.00754977635,416.567351096909,331.977478635837,346.860824055301,219.071433618108,275.59982524945
261.04758262764,241.613712841841,267.788834355497,304.35526238928,277.524099223671,392.173622704088,358.433480936073,330.20028282709,348.102506650113,199.2005306055,221.722439187038
258.341478572397,317.949577390717,258.9283855042,301.012659146298,275.573386910379,345.101609441509,424.183655788128,344.475163801246,320.695340272615,199.26333257864,233.625364847925
238.338180471223,284.181505681915,260.684341405325,364.483436668692,251.334623112511,310.150153840026,439.480318889713,353.774484643992,338.848335227357,210.080602140265,231.743203974203
234.09822243638,308.048349264845,241.110356574422,316.007236730629,256.215082363635,353.838670449168,416.822313959787,332.382355052711,346.32848412409,202.746640323046,237.816576939456
232.786246650584,256.010087826688,227.839579371667,348.365884014804,294.390390124361,370.379518358549,434.554199256916,340.630559392699,336.242596389277,236.098198319469,236.533419570763
240.85376883637,249.25010435338,210.573389838925,344.687187667936,268.159073136016,348.197548680731,439.082171549238,314.834208338893,355.81151471303,264.687494818746,215.049778941839
