"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
10369,"Left","0",1,1,1,1,1,1,2,1,1,4,1,1,1
10385,"Left","0",1,1,1,1,1,1,2,6,1,1,1,1,1
10415,"Left","0",1,1,1,1,1,1,2,1,1,1,1,3,1
10475,"Left","0",1,1,1,1,1,1,2,1,2,1,1,1,1
10517,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,2
10526,"Left","0",1,1,1,1,1,1,2,1,1,2,1,1,1
10552,"Left","0",1,1,1,1,1,1,2,2,1,1,2,2,2
10627,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10630,"Left","0",1,1,1,1,1,1,2,2,1,2,2,2,2
10640,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10645,"Left","0",1,1,1,1,1,1,2,1,1,2,2,1,6
10648,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10664,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10679,"Left","0",1,1,1,1,1,1,2,2,1,3,2,9,11
10693,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10705,"Left","0",1,1,1,1,1,1,4,6,9,2,11,2,14
10708,"Left","0",1,1,1,1,1,1,2,1,1,2,2,1,2
10710,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10740,"Left","0",1,1,1,1,1,1,2,3,1,2,1,2,2
10765,"Left","0",1,1,1,1,1,1,2,1,1,2,1,2,2
10769,"Left","0",1,1,1,1,1,2,2,2,2,2,1,2,2
10793,"Left","0",1,1,1,1,1,1,2,1,1,1,1,2,1
10799,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10813,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
10825,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10853,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10860,"Dual","M",1,1,1,1,1,1,2,1,1,1,2,1,2
10873,"Left","0",1,1,1,1,1,1,6,6,1,11,1,1,1
10876,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10885,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10933,"Left","0",1,1,1,1,1,1,4,1,1,1,2,9,1
10949,"Left","0",1,1,1,1,1,1,2,2,1,1,2,1,1
10955,"Left","0",1,1,1,1,1,2,2,1,2,6,1,6,2
10956,"Left","0",1,1,2,1,1,1,2,1,2,1,2,1,2
10970,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10971,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10994,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
11010,"Dual","0",1,1,1,1,1,1,2,1,1,2,1,2,1
11021,"Left","0",1,1,1,1,1,1,2,1,2,2,1,2,2
11046,"Left","0",1,1,1,1,1,1,2,6,1,4,1,2,2
11096,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
11127,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,2
11164,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,2
11179,"Left","0",1,1,1,1,1,1,2,2,1,1,1,1,1
11235,"Left","0",1,1,1,1,1,3,1,1,1,4,2,14,3
16873,"Dual","M",1,1,1,1,1,2,2,1,1,2,2,2,2
17096,"Dual","0",1,1,1,1,1,1,1,2,2,2,1,1,1
17368,"Left","0",1,1,1,2,1,2,2,1,1,1,1,1,1
18499,"Dual","0",1,1,1,1,1,1,1,1,1,2,1,1,2
18630,"Left","F",1,1,1,1,1,1,1,1,1,1,2,1,2
